2017-04-14,499,124
2017-04-15,536,133
2017-04-16,327,70
2017-04-17,420,99
2017-04-18,517,117
2017-04-19,518,121
2017-04-20,530,127
2017-04-21,543,135
2017-04-22,550,143
2017-04-23,411,97
2017-04-24,498,111
2017-04-25,513,115
2017-04-26,509,119
2017-04-27,530,126
2017-04-28,569,146
2017-04-29,578,159
2017-04-30,448,112
2017-05-01,449,109
2017-05-02,517,118
2017-05-03,515,121
2017-05-04,535,131
2017-05-05,560,143
2017-05-06,574,154
2017-05-07,425,102
2017-05-08,514,119
2017-05-09,526,125
2017-05-10,536,130
2017-05-11,546,135
2017-05-12,564,146
2017-05-13,570,157
2017-05-14,419,103
2017-05-15,498,115
2017-05-16,512,125
2017-05-17,499,118
2017-05-18,536,131
2017-05-19,564,146
2017-05-20,577,157
2017-05-21,422,105
2017-05-22,514,126
2017-05-23,523,129
2017-05-24,524,136
2017-05-25,555,147
2017-05-26,582,159
2017-05-27,577,153
2017-05-28,456,119
2017-05-29,461,114
2017-05-30,549,136
2017-05-31,569,146
2017-06-01,563,151
2017-06-02,576,160
2017-06-03,568,169
2017-06-04,444,113
2017-06-05,499,124
2017-06-06,483,123
2017-06-07,520,141
2017-06-08,508,140
2017-06-09,528,154
2017-06-10,525,158
2017-06-11,389,108
2017-06-12,484,128
2017-06-13,509,137
2017-06-14,499,142
2017-06-15,520,148
2017-06-16,540,158
2017-06-17,543,164
2017-06-18,397,111
2017-06-19,485,133
2017-06-20,500,137
2017-06-21,506,141
2017-06-22,512,147
2017-06-23,534,155
2017-06-24,538,163
2017-06-25,399,111
2017-06-26,497,132
2017-06-27,484,126
2017-06-28,495,138
2017-06-29,503,144
2017-06-30,540,163
2017-07-01,553,172
2017-07-02,410,123
2017-07-03,506,140
2017-07-04,512,144
2017-07-05,516,150
2017-07-06,518,154
2017-07-07,532,159
2017-07-08,547,174
2017-07-09,417,123
2017-07-10,507,138
2017-07-11,498,141
2017-07-12,523,164
2017-07-13,519,164
2017-07-14,538,169
2017-07-15,534,169
2017-07-16,392,117
2017-07-17,484,141
2017-07-18,495,144
2017-07-19,497,155
2017-07-20,500,158
2017-07-21,519,167
2017-07-22,503,163
2017-07-23,388,118
2017-07-24,485,141
2017-07-25,500,160
2017-07-26,487,151
2017-07-27,508,154
2017-07-28,515,163
2017-07-29,511,161
2017-07-30,380,120
2017-07-31,484,148
2017-08-01,460,140
2017-08-02,475,142
2017-08-03,475,148
2017-08-04,520,161
2017-08-05,513,167
2017-08-06,385,122
2017-08-07,492,149
2017-08-08,490,160
2017-08-09,481,160
2017-08-10,514,178
2017-08-11,516,179
2017-08-12,514,183
2017-08-13,391,134
2017-08-14,491,160
2017-08-15,504,165
2017-08-16,496,167
2017-08-17,504,177
2017-08-18,510,174
2017-08-19,514,180
2017-08-20,382,131
2017-08-21,481,163
2017-08-22,494,164
2017-08-23,499,178
2017-08-24,521,186
2017-08-25,544,190
2017-08-26,532,188
2017-08-27,410,147
2017-08-28,424,148
2017-08-29,507,171
2017-08-30,507,163
2017-08-31,529,180
2017-09-01,541,202
2017-09-02,528,201
2017-09-03,376,135
2017-09-04,492,174
2017-09-05,497,170
2017-09-06,504,174
2017-09-07,512,177
2017-09-08,523,173
2017-09-09,549,204
2017-09-10,398,143
2017-09-11,497,169
2017-09-12,510,158
2017-09-13,511,157
2017-09-14,519,181
2017-09-15,525,192
2017-09-16,560,210
2017-09-17,407,152
2017-09-18,506,177
2017-09-19,517,170
2017-09-20,524,171
